M;2;1;1
M;4;1;2
F;4;1;2
F;1;1;2
F;1;1;2
F;1;1;2
F;2;1;2
F;2;1;1
F;4;1;2
M;1;1;2
M;3;2;1
M;4;2;2
M;4;1;2
F;2;1;1
F;2;1;2
M;1;1;2
F;4;1;2
F;2;2;2
M;2;1;2
M;3;2;2
F;4;1;2
F;3;2;1
F;1;1;2
F;3;1;2
M;2;1;2
M;1;1;2
M;3;1;2
M;3;2;2
M;4;1;2
F;3;2;2
M;1;1;2
F;3;1;1
M;1;2;2
F;2;1;2
M;2;1;1
M;1;1;2
F;1;1;2
F;4;2;2
F;2;1;1
M;2;1;1
F;4;1;2
M;3;1;2
F;3;1;1
M;4;1;2
F;4;1;2
F;3;1;1
M;3;1;1
F;2;2;2
M;2;1;2
M;1;1;1
M;2;1;2
F;3;1;1
M;2;1;1
F;4;1;2
M;1;2;2
M;3;1;2
M;2;1;1
F;2;1;1
F;1;1;2
F;2;1;2
M;2;2;1
M;3;1;2
M;3;1;2
F;4;1;1
F;1;1;2
M;3;2;2
F;4;1;1
F;2;2;2
F;4;1;2
F;3;1;2
M;4;1;1
F;2;1;2
M;2;1;2
F;1;2;2
F;3;2;2
F;2;1;1
F;1;1;2
M;4;1;2
F;2;1;1
F;1;1;2
F;3;1;2
M;3;2;1
F;1;1;2
F;2;1;1
F;1;1;2
M;1;1;1
F;1;1;2
F;3;1;2
M;2;1;2
M;1;1;1
F;2;1;2
M;2;1;2
M;3;2;1
F;2;1;2
F;2;1;2
M;1;1;2
F;1;1;2
F;2;1;1
M;3;2;2
M;1;1;1
